DateKey;Date;Day;WeekNr;Month;MonthNo;Quarter;Year
20230101;2023-01-01;Sunday;1;January;1;1;2023
20230102;2023-01-02;Monday;1;January;1;1;2023
20230103;2023-01-03;Tuesday;1;January;1;1;2023
20230104;2023-01-04;Wednesday;1;January;1;1;2023
20230105;2023-01-05;Thursday;1;January;1;1;2023
20230106;2023-01-06;Friday;1;January;1;1;2023
20230107;2023-01-07;Saturday;1;January;1;1;2023
20230108;2023-01-08;Sunday;2;January;1;1;2023
20230109;2023-01-09;Monday;2;January;1;1;2023
20230110;2023-01-10;Tuesday;2;January;1;1;2023
20230111;2023-01-11;Wednesday;2;January;1;1;2023
20230112;2023-01-12;Thursday;2;January;1;1;2023
20230113;2023-01-13;Friday;2;January;1;1;2023
20230114;2023-01-14;Saturday;2;January;1;1;2023
20230115;2023-01-15;Sunday;3;January;1;1;2023
20230116;2023-01-16;Monday;3;January;1;1;2023
20230117;2023-01-17;Tuesday;3;January;1;1;2023
20230118;2023-01-18;Wednesday;3;January;1;1;2023
20230119;2023-01-19;Thursday;3;January;1;1;2023
20230120;2023-01-20;Friday;3;January;1;1;2023
20230121;2023-01-21;Saturday;3;January;1;1;2023
20230122;2023-01-22;Sunday;4;January;1;1;2023
20230123;2023-01-23;Monday;4;January;1;1;2023
20230124;2023-01-24;Tuesday;4;January;1;1;2023
20230125;2023-01-25;Wednesday;4;January;1;1;2023
20230126;2023-01-26;Thursday;4;January;1;1;2023
20230127;2023-01-27;Friday;4;January;1;1;2023
20230128;2023-01-28;Saturday;4;January;1;1;2023
20230129;2023-01-29;Sunday;5;January;1;1;2023
20230130;2023-01-30;Monday;5;January;1;1;2023
20230131;2023-01-31;Tuesday;5;January;1;1;2023
20230201;2023-02-01;Wednesday;5;February;2;1;2023
20230202;2023-02-02;Thursday;5;February;2;1;2023
20230203;2023-02-03;Friday;5;February;2;1;2023
20230204;2023-02-04;Saturday;5;February;2;1;2023
20230205;2023-02-05;Sunday;6;February;2;1;2023
20230206;2023-02-06;Monday;6;February;2;1;2023
20230207;2023-02-07;Tuesday;6;February;2;1;2023
20230208;2023-02-08;Wednesday;6;February;2;1;2023
20230209;2023-02-09;Thursday;6;February;2;1;2023
20230210;2023-02-10;Friday;6;February;2;1;2023
20230211;2023-02-11;Saturday;6;February;2;1;2023
20230212;2023-02-12;Sunday;7;February;2;1;2023
20230213;2023-02-13;Monday;7;February;2;1;2023
20230214;2023-02-14;Tuesday;7;February;2;1;2023
20230215;2023-02-15;Wednesday;7;February;2;1;2023
20230216;2023-02-16;Thursday;7;February;2;1;2023
20230217;2023-02-17;Friday;7;February;2;1;2023
20230218;2023-02-18;Saturday;7;February;2;1;2023
20230219;2023-02-19;Sunday;8;February;2;1;2023
20230220;2023-02-20;Monday;8;February;2;1;2023
20230221;2023-02-21;Tuesday;8;February;2;1;2023
20230222;2023-02-22;Wednesday;8;February;2;1;2023
20230223;2023-02-23;Thursday;8;February;2;1;2023
20230224;2023-02-24;Friday;8;February;2;1;2023
20230225;2023-02-25;Saturday;8;February;2;1;2023
20230226;2023-02-26;Sunday;9;February;2;1;2023
20230227;2023-02-27;Monday;9;February;2;1;2023
20230228;2023-02-28;Tuesday;9;February;2;1;2023
20230301;2023-03-01;Wednesday;9;March;3;1;2023
20230302;2023-03-02;Thursday;9;March;3;1;2023
20230303;2023-03-03;Friday;9;March;3;1;2023
20230304;2023-03-04;Saturday;9;March;3;1;2023
20230305;2023-03-05;Sunday;10;March;3;1;2023
20230306;2023-03-06;Monday;10;March;3;1;2023
20230307;2023-03-07;Tuesday;10;March;3;1;2023
20230308;2023-03-08;Wednesday;10;March;3;1;2023
20230309;2023-03-09;Thursday;10;March;3;1;2023
20230310;2023-03-10;Friday;10;March;3;1;2023
20230311;2023-03-11;Saturday;10;March;3;1;2023
20230312;2023-03-12;Sunday;11;March;3;1;2023
20230313;2023-03-13;Monday;11;March;3;1;2023
20230314;2023-03-14;Tuesday;11;March;3;1;2023
20230315;2023-03-15;Wednesday;11;March;3;1;2023
20230316;2023-03-16;Thursday;11;March;3;1;2023
20230317;2023-03-17;Friday;11;March;3;1;2023
20230318;2023-03-18;Saturday;11;March;3;1;2023
20230319;2023-03-19;Sunday;12;March;3;1;2023
20230320;2023-03-20;Monday;12;March;3;1;2023
20230321;2023-03-21;Tuesday;12;March;3;1;2023
20230322;2023-03-22;Wednesday;12;March;3;1;2023
20230323;2023-03-23;Thursday;12;March;3;1;2023
20230324;2023-03-24;Friday;12;March;3;1;2023
20230325;2023-03-25;Saturday;12;March;3;1;2023
20230326;2023-03-26;Sunday;13;March;3;1;2023
20230327;2023-03-27;Monday;13;March;3;1;2023
20230328;2023-03-28;Tuesday;13;March;3;1;2023
20230329;2023-03-29;Wednesday;13;March;3;1;2023
20230330;2023-03-30;Thursday;13;March;3;1;2023
20230331;2023-03-31;Friday;13;March;3;1;2023
20230401;2023-04-01;Saturday;13;April;4;2;2023
20230402;2023-04-02;Sunday;14;April;4;2;2023
20230403;2023-04-03;Monday;14;April;4;2;2023
20230404;2023-04-04;Tuesday;14;April;4;2;2023
20230405;2023-04-05;Wednesday;14;April;4;2;2023
20230406;2023-04-06;Thursday;14;April;4;2;2023
20230407;2023-04-07;Friday;14;April;4;2;2023
20230408;2023-04-08;Saturday;14;April;4;2;2023
20230409;2023-04-09;Sunday;15;April;4;2;2023
20230410;2023-04-10;Monday;15;April;4;2;2023
20230411;2023-04-11;Tuesday;15;April;4;2;2023
20230412;2023-04-12;Wednesday;15;April;4;2;2023
20230413;2023-04-13;Thursday;15;April;4;2;2023
20230414;2023-04-14;Friday;15;April;4;2;2023
20230415;2023-04-15;Saturday;15;April;4;2;2023
20230416;2023-04-16;Sunday;16;April;4;2;2023
20230417;2023-04-17;Monday;16;April;4;2;2023
20230418;2023-04-18;Tuesday;16;April;4;2;2023
20230419;2023-04-19;Wednesday;16;April;4;2;2023
20230420;2023-04-20;Thursday;16;April;4;2;2023
20230421;2023-04-21;Friday;16;April;4;2;2023
20230422;2023-04-22;Saturday;16;April;4;2;2023
20230423;2023-04-23;Sunday;17;April;4;2;2023
20230424;2023-04-24;Monday;17;April;4;2;2023
20230425;2023-04-25;Tuesday;17;April;4;2;2023
20230426;2023-04-26;Wednesday;17;April;4;2;2023
20230427;2023-04-27;Thursday;17;April;4;2;2023
20230428;2023-04-28;Friday;17;April;4;2;2023
20230429;2023-04-29;Saturday;17;April;4;2;2023
20230430;2023-04-30;Sunday;18;April;4;2;2023
20230501;2023-05-01;Monday;18;May;5;2;2023
20230502;2023-05-02;Tuesday;18;May;5;2;2023
20230503;2023-05-03;Wednesday;18;May;5;2;2023
20230504;2023-05-04;Thursday;18;May;5;2;2023
20230505;2023-05-05;Friday;18;May;5;2;2023
20230506;2023-05-06;Saturday;18;May;5;2;2023
20230507;2023-05-07;Sunday;19;May;5;2;2023
